Country,Popularity,Title,Artist,Release_date,danceability,energy,tempo,release_date,year,month
USA,372.8,how,Lil Baby,2020-02-28,0.5820000000000001,0.488,80.322,2020-02-28,2020,2
USA,126.65,eleven,Khalid - Summer Walker,2020-05-01,0.679,0.408,129.079,2020-05-01,2020,5
USA,4477.55,to die for,Sam Smith,2020-02-14,0.483,0.361,171.649,2020-02-14,2020,2
USA,1867.1,graveyard,Halsey,2020-01-17,0.667,0.583,92.043,2020-01-17,2020,1
USA,4304.299999999998,physical,Dua Lipa,2020-03-27,0.647,0.8440000000000001,146.967,2020-03-27,2020,3
USA,437.95,split/whole time,Lil Yachty,2020-05-29,0.667,0.489,145.048,2020-05-29,2020,5
USA,790.1999999999997,run,Joji,2020-09-24,0.448,0.72,157.91899999999995,2020-09-24,2020,9
USA,1577.4,make it rain,Pop Smoke - Rowdy Rebel,2020-06-12,0.54,0.77,159.494,2020-06-12,2020,6
USA,711.0500000000003,only you freestyle,Headie One - Drake,2020-07-20,0.68,0.826,146.95,2020-07-20,2020,7
USA,185,come & go,Juice WRLD - Marshmello,2020-07-09,0.625,0.8109999999999999,144.994,2020-07-09,2020,7
USA,849,all around me,Justin Bieber,2020-02-14,0.5660000000000001,0.438,117.127,2020-02-14,2020,2
USA,869.1500000000003,without you,Luke Combs - Amanda Shires,2020-10-23,0.522,0.659,141.996,2020-10-23,2020,10
USA,349.15,why would i stop?,Big Sean,2020-09-04,0.778,0.727,119.972,2020-09-04,2020,9
USA,23903.3,walk em down,NLE Choppa - Roddy Ricch,2020-03-19,0.867,0.7440000000000001,84.005,2020-03-19,2020,3
USA,2356.9,party girl,StaySolidRocky - Lil Uzi Vert,2020-07-17,0.752,0.375,129.995,2020-07-17,2020,7
USA,1536.5,yikes,Nicki Minaj,2020-02-07,0.911,0.637,149.996,2020-02-07,2020,2
USA,232.3,sorrows,Bryson Tiller,2020-10-02,0.633,0.7929999999999999,109.093,2020-10-02,2020,10
USA,14481.15,party girl,StaySolidRocky,2020-07-15,0.73,0.439,130.09,2020-07-15,2020,7
USA,1108.6,come around me,Justin Bieber,2020-02-14,0.648,0.6809999999999999,157.941,2020-02-14,2020,2
USA,10.4,what makes a woman,Katy Perry,2020-08-20,0.363,0.594,94.639,2020-08-20,2020,8
USA,1252.9,pov,Ariana Grande,2020-10-30,0.487,0.534,131.798,2020-10-30,2020,10
USA,916.75,snitches & rats,21 Savage - Metro Boomin - Young Nudy,2020-10-02,0.821,0.6709999999999999,145.953,2020-10-02,2020,10
USA,1588.0500000000006,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21,2020,2
USA,16,obey,Bring Me The Horizon - YUNGBLUD,2020-09-02,0.462,0.99,137.061,2020-09-02,2020,9
