Country,Popularity,Title,Artist,Release_date,danceability,energy,tempo,release_date
Global,183.7,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
USA,69.60000000000001,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
UK,11.2,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Argentina,72.8,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Brazil,4.800000000000002,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Canada,56,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Chile,63.2,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Colombia,36.8,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Costa Rica,64,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Ecuador,47.2,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Finland,2.4000000000000004,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Indonesia,1055,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Malaysia,1261.85,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Peru,143,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Philippines,517.1,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Poland,123.8,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Portugal,107.55,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Singapore,886.2,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Turkey,104.55,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Taiwan,1863.3,trivia 起 : just dance,BTS,2018-08-24,0.723,0.906,125.019,2018-08-24
Global,3272.8,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
USA,1588.0500000000006,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
UK,634.65,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
Argentina,410.95,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
Austria,679.3000000000002,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
Australia,548.2,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
Belgium,308.8,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
Brazil,529.6,on,BTS,2020-02-21,0.583,0.8170000000000001,105.936,2020-02-21
